"Active","Actif"
"Add Offer","Ajouter une offre"
"Are you sure you want to delete the selected offers?", "Êtes-vous sûr(e) de vouloir supprimer ces offres ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Availability : %1","Disponibilité : %1"
"Back","Retour"
"Choose this store","Choisir ce magasin"
"City, Zipcode, Department, ...","City, Zipcode, Department, ..."
"Code : %1","Code : %1"
"Delete","Supprimer"
"Display offers on product page","Afficher les offres sur la fiche produit"
"Drive","Drive"
"Drive mode : the customer will only see the catalog of the chosen retailer in Front Office. Retail mode : the customer will browse the Web catalog by default.","Mode Drive : Le client ne verra que le catalogue du magasin qu'il a sélectionné. Mode Retail : le client naviguera dans le catalogue global du site."
"Edit","Éditer"
"Edit Offer %1 ","Éditer l'offre %1 "
"Elastic Suite for Retailer","Elastic Suite for Retailer"
"Find a store :","Find a store :"
"General Offer Parameters","Paramètres généraux de l'offre"
"ID","ID"
"In Stock","En Stock"
"Inactive","Inactif"
"In stock","En stock"
"Navigation mode","Mode de navigation"
"New Retailer Offer","Nouvelle Offre Magasin"
"Offer","Offre"
"Offer Conditions","Conditions de l'offre"
"Offer Summary","Rappel de l'offre"
"Offer is available","L'offre est disponible"
"Offers","Offres"
"Out Of Stock","Épuisé"
"Out of stock","Indisponible"
"Price","Prix"
"Product","Produit"
"Product :","Produit :"
"Product Name","Nom du produit"
"Product Picker","Choix d'un produit"
"Product SKU","Réf. produit"
"Retail","Retail"
"Retailer","Magasin"
"Retailer :","Magasin :"
"Retailer Name","Nom du magasin"
"Retailer Offer Edition Information","Informations de l'offre magasin"
"Retailer Offer Information","Informations de l'offre magasin"
"Retailer Offers","Offres Magasin"
"Retailer Offers List","Liste des offres magasin."
"Retailers","Magasins"
"SKU : %1","SKU : %1"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Search","Search"
"Select"."..,Choisir..."
"Select Product ...","Choisir un produit ..."
"Sellers","Vendeurs"
"Something went wrong while editing the offer.","Une erreur s'est produite durant l'édition de l'offre."
"Special Price","Prix Spécial"
"Status : %1","Statut : %1"
"Store availability : ","Disponibilité en magasin : "
"The product you wish to create an offer for","Le produit pour lequel vous souhaitez créer une offre"
"This offer no longer exists.","Cette offre n'existe plus."
"View availability in stores ...","Voir les disponibilités en magasin ..."
"When enabled, offers of all stores will be displayed on product page.","Si activé, les offres magasins seront affichées sur la fiche produit."
"You deleted the offer %1.","Vous avez supprimé l'offre %1."
"You saved the offer %1.","Vous avez sauvegardé l'offre %1."
